Iteration, Minimum cost
500000, 22
1000000, 22
1500000, 21
2000000, 20
2500000, 20
3000000, 19
3500000, 19
4000000, 19
4500000, 19
5000000, 19
5500000, 19
6000000, 19
6500000, 19
7000000, 19
7500000, 19
8000000, 19
8500000, 19
9000000, 19
9500000, 19
10000000, 19
10500000, 19
11000000, 19
11500000, 19
12000000, 19
12500000, 19
13000000, 19
13500000, 19
14000000, 19
14500000, 19
15000000, 19
15500000, 19
16000000, 19
16500000, 19
17000000, 19
17500000, 19
18000000, 19
18500000, 19
19000000, 19
19500000, 19
20000000, 19
20500000, 19
21000000, 19
21500000, 19
22000000, 19
22500000, 19
23000000, 19
23500000, 19
24000000, 19
24500000, 19
25000000, 19
25500000, 19
26000000, 19
26500000, 19
27000000, 19
27500000, 19
28000000, 19
28500000, 19
29000000, 19
29500000, 19
30000000, 19
30500000, 19
31000000, 19
31500000, 19
32000000, 19
32500000, 19
33000000, 19
33500000, 19
34000000, 19
34500000, 19
35000000, 19
35500000, 19
36000000, 19
36500000, 19
37000000, 19
37500000, 19
# Register configuration:
Cost: 19
Allocation: -1 -1 0 1 -1 0 1 -1 0 1 2 0 3 2 0 3 2 0 4 2 0 5 2 0 5 2 0 5 2 0 5 6 0 1 6 0 1 6 0 1 7 0 
