Iteration, Minimum cost
100000, 54
200000, 52
300000, 51
400000, 51
500000, 51
600000, 51
700000, 51
800000, 51
900000, 51
1000000, 51
1100000, 51
1200000, 50
1300000, 50
1400000, 50
1500000, 50
1600000, 50
1700000, 50
1800000, 50
1900000, 50
2000000, 50
2100000, 50
2200000, 50
2300000, 50
2400000, 50
2500000, 49
2600000, 49
2700000, 49
2800000, 49
2900000, 49
3000000, 49
3100000, 49
3200000, 49
3300000, 49
3400000, 49
3500000, 49
3600000, 49
3700000, 48
3800000, 48
3900000, 47
4000000, 46
4100000, 46
4200000, 46
4300000, 46
4400000, 46
4500000, 46
4600000, 46
4700000, 46
4800000, 46
4900000, 46
5000000, 46
5100000, 46
5200000, 46
5300000, 46
5400000, 46
5500000, 46
5600000, 46
5700000, 46
5800000, 46
5900000, 46
6000000, 46
6100000, 46
6200000, 46
6300000, 46
6400000, 46
6500000, 46
6600000, 46
6700000, 46
6800000, 46
6900000, 46
7000000, 46
7100000, 46
7200000, 46
7300000, 46
7400000, 46
7500000, 46
7600000, 46
7700000, 46
7800000, 46
7900000, 46
8000000, 46
8100000, 46
8200000, 46
8300000, 46
8400000, 46
8500000, 46
8600000, 46
8700000, 46
8800000, 46
8900000, 46
9000000, 46
9100000, 46
9200000, 46
9300000, 46
9400000, 46
9500000, 46
9600000, 46
9700000, 46
9800000, 46
9900000, 46
10000000, 46
10100000, 46
10200000, 46
10300000, 46
10400000, 46
10500000, 46
10600000, 46
10700000, 46
10800000, 46
10900000, 46
11000000, 46
11100000, 46
11200000, 46
11300000, 46
11400000, 46
11500000, 46
11600000, 46
11700000, 46
11800000, 46
11900000, 46
12000000, 46
12100000, 46
12200000, 46
12300000, 46
12400000, 46
12500000, 46
12600000, 46
12700000, 46
12800000, 46
12900000, 46
13000000, 46
13100000, 46
13200000, 46
13300000, 46
13400000, 46
13500000, 46
13600000, 46
13700000, 46
13800000, 46
13900000, 46
14000000, 46
14100000, 46
14200000, 46
14300000, 46
14400000, 46
14500000, 46
14600000, 46
14700000, 46
14800000, 46
14900000, 46
15000000, 46
15100000, 46
15200000, 46
15300000, 46
15400000, 46
15500000, 46
15600000, 46
15700000, 46
15800000, 46
15900000, 46
16000000, 46
16100000, 46
16200000, 46
16300000, 46
16400000, 46
16500000, 46
16600000, 46
16700000, 46
16800000, 43
16900000, 43
17000000, 43
17100000, 43
17200000, 43
17300000, 43
17400000, 43
17500000, 43
17600000, 43
17700000, 43
17800000, 43
17900000, 43
18000000, 43
18100000, 43
18200000, 43
18300000, 43
18400000, 43
18500000, 43
18600000, 43
18700000, 43
18800000, 43
18900000, 43
19000000, 43
19100000, 43
19200000, 43
19300000, 43
19400000, 43
19500000, 43
19600000, 43
19700000, 43
19800000, 43
19900000, 43
20000000, 43
20100000, 43
20200000, 43
20300000, 43
20400000, 43
20500000, 43
20600000, 43
20700000, 43
20800000, 43
20900000, 43
21000000, 43
21100000, 43
21200000, 43
21300000, 43
21400000, 43
21500000, 43
21600000, 42
21700000, 42
21800000, 42
21900000, 42
22000000, 42
22100000, 42
22200000, 42
22300000, 42
22400000, 42
22500000, 42
22600000, 42
22700000, 42
22800000, 42
22900000, 42
23000000, 42
23100000, 42
